-12	-14	-13	5	15	1	16	15	1	-25	-8	8	0	-8	0	3	10	3	-11	10	-4	8	7	5	-12	-1	15	-15	-6	7	5	14	2	1	13	-11	-23	-5	25	29	11	-2	0	7	5	-9	-4	11	3	1	4	20	17	6	-7	4	0	-17	-5	-5	13	11	-2	6	16	11	-1	28	10	3	-6	-2	4	10	-8	-11	-1	3	9	-2	20	-11	-17	9	10	-6	-1	-2	5	-3	-16	-8	-9	10	9	-11	-15	9	18	10	-13	7	14	9	-5	-6	3	3	7	7	11	12	16	18	-11	-16	-4	5	2	-23	-11	18	9	-13	0	2	-4	-8
-8	1	5	41	-11	6	9	19	-16	-6	-5	-6	-4	18	19	-1	3	-18	43	1	26	12	18	-23	0	36	-16	-17	20	16	22	11	-16	12	4	-4	-13	22	5	-1	-7	-14	-1	-10	12	-27	13	-11	12	-1	9	5	-9	-4	1	24	-7	8	11	7	21	-8	12	3	5	-19	6	-13	-24	7	-10	21	-10	-1	-36	17	-5	18	-43	18	-8	-27	-4	3	-46	-13	-4	7	1	-24	-3	-20	10	1	-8	-9	25	4	10	-3	19	29	9	2	-25	25	0	7	1	12	-3	10	18	6	-19	13	-8	17	-14	12	21	33	-33	6	28	17	9	-7
22	-7	39	-2	-16	1	5	0	-22	-28	16	5	9	8	22	-16	-4	34	-4	-34	6	3	-22	5	4	0	-27	32	19	-14	-11	-34	1	22	3	7	3	-18	6	10	-11	-17	7	-9	-22	20	-15	20	-8	-6	-15	-8	12	-8	14	-9	3	18	2	3	5	-1	-3	-12	-16	-5	-27	-28	13	-2	4	-27	-6	-32	7	-10	31	-22	-1	3	-42	7	29	-7	-12	1	12	-29	11	-9	5	7	8	26	-6	24	0	-9	17	-1	-1	-3	3	-21	0	12	-2	-14	15	-15	9	11	24	-12	5	-14	11	3	13	-3	1	-18	-5	10	15	18	-24	-1
7	14	-11	-20	-20	-1	-1	5	-47	17	26	15	-23	21	-16	-4	16	-34	-14	14	-4	-4	-1	27	-18	-9	3	16	-19	-10	-6	18	8	-7	-16	-11	-3	-2	19	-16	-18	-6	-11	-21	-19	25	15	-1	-5	-22	-2	25	2	-3	15	3	-10	32	-17	15	-20	-4	6	-13	25	-35	7	-2	12	-9	-9	-19	2	2	4	8	-13	4	8	-18	12	25	-8	-4	2	14	-28	26	11	8	13	-13	13	-3	28	-18	-19	19	-17	-30	-10	18	-4	-10	25	7	-4	11	-19	-8	28	-10	-22	-20	-34	-5	7	-16	-24	-8	25	-27	21	8	-7	10	-21	30
-10	-7	-14	-1	-13	13	-1	-32	-6	22	-13	-28	12	-11	-16	13	-6	8	31	10	-13	20	2	-13	33	4	19	-33	-11	11	20	31	-9	2	13	-24	9	10	-6	6	-4	3	-12	1	17	3	9	2	-17	-5	28	5	0	-2	16	-28	20	-12	0	-9	-25	19	-16	-9	4	13	2	-17	5	-8	12	-31	20	-9	16	4	7	-4	-17	17	15	-17	-15	-26	9	-6	27	-1	2	-13	-34	6	7	34	-7	-27	-1	-18	-8	-14	9	-17	-23	-15	38	-9	-13	5	-25	46	-1	-27	-3	-30	10	16	-23	0	9	26	21	-9	50	-3	27	-9	5	-4
-18	-14	-2	3	10	-8	4	-14	30	21	-13	-24	14	-10	24	-4	1	5	-12	-43	1	6	-1	-11	14	-13	-33	16	32	21	24	-18	2	1	0	-19	1	-2	27	8	14	8	11	-1	41	6	-11	-7	-30	30	-11	2	4	-2	-17	6	-9	11	-11	0	8	20	-5	3	0	12	-5	-2	12	1	-25	36	9	24	-4	29	-15	10	11	22	-25	19	-14	-6	-9	9	-19	0	16	-3	-19	9	25	-3	-41	-16	15	19	14	5	7	-16	7	3	1	-40	-22	11	3	13	-19	9	3	15	13	-10	16	18	30	-17	-14	29	-13	17	-10	-8	0	-12
5	-5	17	3	-9	-11	7	18	13	-9	-10	-12	13	-14	-6	-12	8	-3	-11	8	14	8	-21	4	6	-24	20	26	21	-17	-14	-10	-30	26	-3	-15	34	-3	4	7	-36	18	-13	14	1	-10	-3	-22	26	-11	-1	17	-14	5	-29	16	20	-11	6	-5	15	-2	-23	17	8	-12	19	15	12	-21	14	22	-31	11	5	10	21	-7	34	-22	4	-29	-21	-4	-6	-2	13	18	2	9	0	7	5	-2	5	14	12	-11	-18	-24	11	-12	7	1	-15	-9	21	6	12	17	9	4	-2	-14	-8	21	6	7	-20	9	2	1	-10	-3	6	-4	-2	14
1	21	-13	0	-18	4	17	24	-2	-9	-8	-5	-12	2	-9	-9	-10	-27	-9	-14	25	-30	-8	7	-27	9	10	-4	-23	-27	-12	-15	19	32	-5	-10	5	-6	-7	-31	6	12	10	-3	4	26	-16	0	0	-21	16	-6	-22	-5	17	19	1	-13	7	-4	13	-23	-3	9	-20	-3	1	-5	-2	9	20	-23	-14	-17	-2	-32	13	-16	0	-22	24	-17	13	8	-1	13	11	7	-13	-20	-13	-10	-9	-11	-16	-10	-17	2	-23	37	-8	-4	11	-10	13	5	22	-15	23	8	-14	-14	-34	8	44	2	-11	-22	-7	-4	-7	-11	-11	15	7	-25	26	19
1	17	-18	-11	12	-24	-4	4	0	13	-18	5	-9	-4	-16	-15	-8	12	6	0	-15	-42	11	18	10	7	-3	-13	-17	-6	-7	-2	38	-1	-37	12	-15	8	-49	-4	9	-16	-15	34	-20	-12	-19	-34	0	7	24	-35	20	-5	11	-25	-25	-5	18	-24	-6	-3	17	-27	-2	1	-10	-6	12	-3	2	-15	23	7	4	28	2	19	13	16	5	3	11	-11	-6	7	5	-22	13	-16	-36	19	-21	-15	-23	0	29	-7	4	15	-15	9	-18	23	-9	4	7	-33	15	-26	-4	-10	18	38	-6	-7	-21	-12	-1	-8	-8	18	1	-2	-28	-1	28	-7
4	-12	-18	30	-1	-11	22	1	0	-21	-11	-11	6	-19	-1	10	8	0	0	2	-30	17	17	0	-16	-14	9	-24	-17	-14	-10	12	-11	-9	-32	9	-5	-20	-1	24	-18	2	17	-11	-44	0	5	-2	31	-4	-14	9	1	0	-15	5	-22	19	5	-12	5	26	-25	6	-7	17	16	-8	-16	-12	-2	4	4	4	10	20	-21	8	-4	-2	-19	20	7	-15	27	2	-23	3	1	-34	7	7	3	-3	3	14	2	-12	-9	-22	-10	-3	8	11	-17	1	-32	22	-28	-13	5	-3	6	-4	-13	-22	2	4	25	-2	10	-3	-2	12	-20	15	-14	-11
-15	-28	36	-8	-3	5	30	-7	16	-19	-12	8	0	4	7	6	-10	-5	-12	-11	-13	21	-8	7	-5	24	4	-8	-14	1	1	-1	-1	-3	17	-2	13	5	17	-8	-7	2	-16	-36	9	29	16	6	25	10	-8	-2	8	4	8	-7	1	27	-49	27	26	-12	14	-11	1	0	-1	-9	5	18	-15	-21	-15	2	9	-13	-9	-19	-14	-9	1	13	6	-15	4	-24	7	13	-40	-5	18	11	5	2	6	7	-5	10	6	-13	5	1	6	-35	4	-24	27	0	-17	13	-11	-9	-8	-4	-17	-2	12	24	-7	-13	8	-23	15	6	-4	-4	12	3
-24	34	20	-17	-21	4	-13	14	-15	-14	26	-15	-13	10	-12	-6	-20	2	3	2	25	-25	13	-12	15	-42	12	-5	3	17	-6	21	1	7	7	2	3	1	5	-32	1	10	-3	23	32	12	-19	16	-18	6	-31	-14	4	-2	-13	-2	35	-22	0	24	-14	-26	4	6	12	-20	8	13	0	-6	-32	10	-10	28	-25	-11	5	-9	6	-16	35	6	-5	2	7	26	7	-27	16	-6	8	-3	-30	9	-23	8	-20	-17	-10	-12	5	-10	-15	-10	12	39	-8	-12	-8	26	-4	1	2	-35	22	23	25	-8	-11	-14	23	7	8	-28	-12	9	7	-29
11	11	-7	5	5	24	13	-9	-22	5	19	-19	9	-17	-5	8	20	5	-11	-13	-12	-24	4	-23	7	-6	33	1	21	0	22	13	10	7	-1	-6	8	5	-2	18	-6	25	4	10	15	-7	0	4	-1	-20	3	2	3	-23	-9	-1	-15	-17	-6	-2	-7	14	14	2	-22	34	10	12	-12	1	16	13	17	22	-34	40	-12	-36	-9	22	9	14	-8	23	-32	-1	-37	-15	1	2	3	-7	-5	-4	16	23	-13	-6	15	-26	3	1	-8	8	16	-19	-4	2	-2	-5	-5	-38	1	-21	12	-1	3	-23	8	29	0	33	-7	-17	24	-16	-6	13
20	14	-8	7	3	0	-2	5	9	13	-9	-41	14	-23	16	9	11	7	-19	-10	-15	7	-16	-15	-15	25	-1	-7	-21	-17	8	-8	27	-31	12	-7	28	-17	17	-29	19	6	4	18	-6	-1	8	-6	-13	12	12	-5	21	-15	12	12	11	-39	13	9	4	7	-26	-38	8	34	-17	-2	-25	-3	-3	6	28	-14	22	21	-42	-10	30	37	-17	-3	-22	-9	-17	-8	7	12	6	-7	18	-37	21	-35	3	-20	-23	34	-29	2	-25	-5	-15	-5	2	3	9	10	-20	-10	-14	-6	3	17	10	9	-27	-13	15	-11	2	-21	-6	-7	37	-11	29	3
-13	0	-12	14	-3	9	7	-20	16	-2	-41	2	6	-13	8	4	-13	-11	8	-6	-10	-3	-7	7	10	35	-9	4	0	0	14	31	-7	3	-26	14	1	10	-23	-4	28	-10	8	-12	-19	16	13	-3	-5	13	-1	7	11	-5	19	25	-28	-4	27	-4	9	-1	10	6	10	-26	-5	-8	-10	21	-7	28	-9	-35	14	-43	-9	5	9	-27	-25	-3	17	-3	11	-2	-28	16	-32	6	-11	9	-13	0	8	-37	32	-12	-20	4	4	8	-22	18	2	22	-2	-42	-18	9	-23	3	-4	2	13	3	16	21	7	27	7	10	15	36	-15	1	-31	-20
-16	-16	18	-12	-11	9	-9	0	-5	-26	6	27	-19	8	31	8	8	-10	12	-19	23	-8	3	-15	24	-7	-14	-13	-6	22	24	-12	-9	-17	20	-8	15	-35	-26	35	-2	1	-16	15	9	20	-23	3	-14	-3	30	12	-21	18	0	-5	-13	22	6	-10	15	13	-6	-15	2	18	-9	-5	13	-12	4	5	-19	14	-3	-5	5	3	-6	-22	44	5	17	-6	24	-36	21	-26	-17	30	-20	19	-17	4	-29	8	33	-2	4	29	-1	-10	15	9	17	-16	-3	-11	17	-10	10	-6	32	-5	21	-2	4	-18	12	-1	29	10	24	-18	-9	14	6	13
